Date,Price,Open,High,Low,Volume,Change,Year
2021-01-01,29359.9,28951.7,29627.1,28712.4,100900.0,1.42,2021
2021-01-02,32193.3,29359.7,33233.5,29008.0,240870.0,9.65,2021
2021-01-03,32958.9,32192.9,34755.9,32029.6,155210.0,2.38,2021
2021-01-04,32022.6,33016.6,33587.5,28204.5,255270.0,-2.84,2021
2021-01-05,33991.5,32015.4,34414.7,30010.5,202130.0,6.15,2021
2021-01-06,36793.2,33999.3,36934.8,33408.3,227560.0,8.24,2021
2021-01-07,39460.2,36798.5,40340.9,36361.2,249600.0,7.25,2021
2021-01-08,40599.3,39466.4,41921.7,36613.4,251290.0,2.89,2021
2021-01-09,40151.9,40607.2,41363.5,38775.1,128419.99999999999,-1.1,2021
2021-01-10,38192.2,40149.7,41362.4,35141.6,215780.0,-4.88,2021
2021-01-11,35544.3,38195.3,38217.2,30411.6,251040.0,-6.93,2021
2021-01-12,34076.1,35426.0,36598.7,32572.7,241930.0,-4.13,2021
2021-01-13,37382.2,34061.2,37764.6,32451.9,209930.0,9.7,2021
2021-01-14,39175.7,37383.4,40054.3,36772.1,172400.0,4.8,2021
2021-01-15,36845.8,39175.7,39715.0,34488.7,118420.0,-5.95,2021
2021-01-16,36019.5,36751.8,37931.7,35408.4,137020.0,-2.24,2021
2021-01-17,35839.6,36020.1,36801.3,33883.5,126820.0,-0.5,2021
2021-01-18,36613.2,35838.2,37436.8,34801.0,111520.0,2.16,2021
2021-01-19,36002.9,36630.6,37821.0,36001.4,79110.0,-1.67,2021
2021-01-20,35476.3,35862.1,36384.4,33444.5,153610.0,-1.46,2021
2021-01-21,30842.1,35472.3,35591.1,30101.8,253270.0,-13.06,2021
2021-01-22,33000.5,30838.7,33821.2,28871.2,243090.0,7.0,2021
2021-01-23,32088.9,32994.1,33441.4,31418.2,100700.0,-2.76,2021
2021-01-24,32241.3,32088.5,33034.8,30982.9,88210.0,0.47,2021
2021-01-25,32252.3,32244.3,34854.3,31967.4,142430.0,0.03,2021
2021-01-26,32502.1,32244.1,32917.7,30850.0,139840.0,0.77,2021
2021-01-27,30404.0,32499.6,32545.4,29290.4,194350.0,-6.46,2021
2021-01-28,33374.8,30408.9,33790.8,29911.9,167390.0,9.77,2021
2021-01-29,34301.8,33381.7,38546.0,31953.3,297730.0,2.78,2021
2021-01-30,34283.1,34300.0,34920.9,32908.5,128570.0,-0.05,2021
2021-01-31,33108.1,34281.6,34348.3,32189.9,101920.0,-3.43,2021
2021-02-01,33515.7,33106.8,34685.6,32324.9,126320.0,1.23,2021
2021-02-02,35485.2,33514.0,35976.1,33462.4,120850.0,5.88,2021
2021-02-03,37646.8,35486.9,37646.8,35401.5,131030.0,6.09,2021
2021-02-04,36982.1,37648.9,38707.9,36380.8,151440.0,-1.77,2021
2021-02-05,38297.6,36976.4,38303.6,36640.0,100600.0,3.56,2021
2021-02-06,39256.6,38300.6,40939.7,38275.3,156020.0,2.5,2021
2021-02-07,38852.9,39228.9,39691.7,37381.6,125370.0,-1.03,2021
2021-02-08,46395.7,38853.6,46596.4,38057.0,248470.0,19.41,2021
2021-02-09,46508.6,46396.4,48143.5,45104.7,193870.0,0.24,2021
2021-02-10,44836.0,46507.8,47295.3,43800.5,151830.0,-3.6,2021
2021-02-11,47990.7,44834.8,48622.1,44041.1,145770.0,7.04,2021
2021-02-12,47371.7,47995.0,48927.4,46218.6,133730.0,-1.29,2021
2021-02-13,47168.7,47373.1,48097.3,46270.5,89420.0,-0.43,2021
2021-02-14,48643.4,47172.1,49695.1,47051.9,106500.0,3.13,2021
2021-02-15,47936.3,48611.1,48936.5,45786.1,123180.0,-1.45,2021
2021-02-16,49169.7,47934.2,50515.8,47044.4,141370.0,2.57,2021
2021-02-17,52079.2,49161.3,52577.7,49018.1,140030.0,5.92,2021
2021-02-18,51582.2,52094.5,52524.0,50941.6,94350.0,-0.95,2021
2021-02-19,55906.6,51590.1,56238.5,50816.8,139430.0,8.38,2021
2021-02-20,55923.7,55922.0,57523.8,54124.1,127850.0,0.03,2021
2021-02-21,57433.8,55907.6,58335.1,55502.7,87260.0,2.7,2021
2021-02-22,54111.8,57437.6,57480.8,48353.8,244950.0,-5.78,2021
2021-02-23,48911.2,54114.1,54115.0,45093.8,315070.0,-9.61,2021
2021-02-24,49697.5,48911.1,51311.8,47031.7,153750.0,1.61,2021
2021-02-25,46928.5,49695.9,52013.8,46773.7,83220.0,-5.57,2021
2021-02-26,46345.6,46928.5,48413.9,44248.2,189410.0,-1.24,2021
2021-02-27,46136.7,46333.1,48335.1,45059.4,98750.0,-0.45,2021
2021-02-28,45164.0,46136.0,46582.0,43100.6,135080.0,-2.11,2021
2021-03-01,49595.5,45160.5,49774.0,45008.8,137520.0,9.81,2021
2021-03-02,48424.2,49595.6,50191.9,47100.6,102100.0,-2.36,2021
2021-03-03,50395.1,48422.2,52567.9,48159.2,44930.0,4.07,2021
2021-03-04,48428.0,50388.0,51757.7,47521.8,9560.0,-3.9,2021
2021-03-05,48792.5,48363.6,49429.4,46370.1,113640.0,0.75,2021
2021-03-06,48855.6,48798.7,49191.8,47132.8,66660.0,0.13,2021
2021-03-07,50982.3,48899.0,51434.1,48890.6,82910.0,4.35,2021
2021-03-08,52311.0,50988.9,52384.9,49338.1,68140.0,2.61,2021
2021-03-09,54879.0,52352.4,54880.6,51941.3,114060.0,4.91,2021
2021-03-10,55851.9,54882.7,57328.7,53073.6,140960.0,1.77,2021
2021-03-11,57799.5,55851.2,58135.0,54351.8,129630.0,3.49,2021
2021-03-12,57265.1,57806.2,58052.3,55134.5,116960.0,-0.92,2021
2021-03-13,61195.3,57267.4,61795.8,56118.8,134640.0,6.86,2021
2021-03-14,59113.7,61192.7,61673.7,59113.7,80290.0,-3.4,2021
2021-03-15,55791.3,59117.4,60565.9,55088.8,117710.0,-5.62,2021
2021-03-16,56889.7,55619.5,56889.7,53342.6,128509.99999999999,1.97,2021
2021-03-17,58913.5,56892.9,58933.2,54253.2,118260.0,3.56,2021
2021-03-18,57656.0,58911.8,60088.0,57099.6,102620.0,-2.13,2021
2021-03-19,58088.0,57645.0,59448.3,56305.1,83980.0,0.75,2021
2021-03-20,58093.4,58084.1,59882.1,57863.0,67830.0,0.01,2021
2021-03-21,57383.8,58097.4,58583.8,55583.3,77470.0,-1.22,2021
2021-03-22,54158.3,57379.3,58379.9,53784.2,95530.0,-5.62,2021
2021-03-23,54452.5,54117.5,55813.8,52992.3,84840.0,0.54,2021
2021-03-24,52325.4,54309.1,57169.4,51725.4,137910.0,-3.91,2021
2021-03-25,51322.3,52330.0,53175.4,50441.3,143350.0,-1.92,2021
2021-03-26,55036.1,51317.4,55074.1,51302.0,100300.0,7.24,2021
2021-03-27,55862.9,55033.8,56531.1,54010.2,73870.0,1.5,2021
2021-03-28,55765.2,55856.9,56504.2,54711.3,58710.0,-0.17,2021
2021-03-29,57616.2,55764.7,58392.6,54951.1,107910.0,3.32,2021
2021-03-30,58771.3,57614.6,59366.9,57077.1,86210.0,2.0,2021
2021-03-31,58763.7,58771.4,59795.6,56991.6,98060.0,-0.01,2021
2021-04-01,58718.3,58763.2,59406.5,58040.7,69040.0,-0.08,2021
2021-04-02,58977.3,58718.2,60134.9,58466.5,72370.0,0.44,2021
2021-04-03,57059.9,58976.8,59770.5,56906.7,68740.0,-3.25,2021
2021-04-04,58199.9,57059.7,58464.8,56470.6,57210.0,2.0,2021
2021-04-05,58993.4,58202.3,59205.1,56842.7,54130.0,1.36,2021
2021-04-06,57996.3,59169.0,59487.0,57403.3,77150.0,-1.69,2021
2021-04-07,55948.7,57996.3,58627.7,55489.3,110690.0,-3.53,2021
2021-04-08,58077.4,55948.0,58136.7,55721.6,64780.0,3.8,2021
2021-04-09,58118.7,58076.8,58890.9,57686.0,59220.0,0.07,2021
2021-04-10,59748.4,58127.4,61229.0,57900.0,103720.0,2.8,2021
2021-04-11,59978.7,59772.4,60667.1,59250.3,58200.0,0.39,2021
2021-04-12,59863.8,59982.1,61259.9,59569.2,81880.0,-0.19,2021
2021-04-13,63540.9,59863.6,63659.0,59839.4,126560.0,6.14,2021
2021-04-14,62980.4,63544.2,64778.0,61366.3,130430.0,-0.88,2021
2021-04-15,63216.0,62978.6,63729.1,62067.5,76970.0,0.37,2021
2021-04-16,61379.7,63211.6,63518.5,60027.3,136850.0,-2.9,2021
2021-04-17,60041.9,61358.3,62509.1,59672.1,84080.0,-2.18,2021
2021-04-18,56207.1,60043.2,60362.1,51817.6,216810.0,-6.39,2021
2021-04-19,55646.1,56208.1,57517.0,54272.3,117510.0,-1.0,2021
2021-04-20,56483.2,55645.1,57054.9,53422.5,115490.0,1.5,2021
2021-04-21,53820.2,56479.5,56764.4,53657.6,100260.0,-4.71,2021
2021-04-22,51729.5,53821.3,55408.4,50590.9,168130.0,-3.88,2021
2021-04-23,51143.6,51707.1,52099.9,47659.4,214460.0,-1.13,2021
2021-04-24,50088.9,51140.8,51183.0,48775.2,82250.0,-2.06,2021
2021-04-25,48963.6,50088.2,50532.4,47098.5,59200.0,-2.25,2021
2021-04-26,54020.5,48963.5,54320.9,48815.9,129759.99999999999,10.33,2021
2021-04-27,55036.5,54011.1,55427.8,53345.0,84080.0,1.88,2021
2021-04-28,54841.4,55036.0,56419.9,53876.4,86960.0,-0.35,2021
2021-04-29,53560.8,54838.6,55173.7,52400.0,83900.0,-2.34,2021
2021-04-30,57720.3,53562.3,57925.6,53088.7,103740.0,7.77,2021
2021-05-01,57807.1,57719.1,58449.4,57029.5,63410.0,0.15,2021
2021-05-02,56603.8,57807.2,57868.4,56110.5,53610.0,-2.08,2021
2021-05-03,57169.8,56605.8,58925.1,56562.4,89240.0,1.0,2021
2021-05-04,53741.5,57170.6,57201.3,53741.5,132330.0,-6.0,2021
2021-05-05,57441.3,53872.5,57936.4,53872.5,119820.0,6.88,2021
2021-05-06,56405.4,57441.0,58364.9,55294.5,109020.0,-1.8,2021
2021-05-07,57337.2,56411.4,58639.3,55300.1,110010.0,1.65,2021
2021-05-08,58840.1,57330.3,59471.1,56972.2,101270.0,2.62,2021
2021-05-09,58238.3,58840.6,59227.0,56414.4,103590.0,-1.02,2021
2021-05-10,55848.9,58251.2,59523.9,53678.3,142610.0,-4.1,2021
2021-05-11,56695.7,55846.1,56871.1,54550.4,96470.0,1.52,2021
2021-05-12,49384.2,56694.5,57938.5,49187.0,160740.0,-12.9,2021
2021-05-13,49704.6,49398.2,51337.3,46331.1,236710.0,0.65,2021
2021-05-14,49839.8,49704.9,51459.2,48874.0,118840.0,0.27,2021
2021-05-15,46708.8,49839.1,50640.9,46650.2,131910.0,-6.28,2021
2021-05-16,46426.4,46729.3,49764.3,43920.8,180070.0,-0.6,2021
2021-05-17,43541.3,46424.2,46545.4,42201.5,274760.0,-6.21,2021
2021-05-18,42897.3,43538.5,45770.9,42293.9,154960.0,-1.48,2021
2021-05-19,36720.5,42898.3,43516.6,30261.7,607100.0,-14.4,2021
2021-05-20,40717.2,36706.8,42425.9,35010.4,269750.0,10.88,2021
2021-05-21,37297.4,40611.2,42108.3,33592.3,315500.0,-8.4,2021
2021-05-22,37448.3,37291.0,38776.0,35314.9,185830.0,0.4,2021
2021-05-23,34679.7,37446.8,38248.7,31192.4,325730.0,-7.39,2021
2021-05-24,38750.6,34720.3,39851.7,34474.6,244880.0,11.74,2021
2021-05-25,38378.3,38753.6,39740.8,36540.7,163010.0,-0.96,2021
2021-05-26,39249.2,38375.7,40750.0,37847.0,153800.0,2.27,2021
2021-05-27,38417.3,39249.0,40322.2,37190.8,122930.0,-2.12,2021
2021-05-28,35662.5,38543.2,38844.1,34772.4,199580.0,-7.17,2021
2021-05-29,34584.6,35664.5,37227.1,33664.2,160430.0,-3.02,2021
